numCommune;annee;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbCinemasArtEssai;nbSeances;nbEntrees;recettes;population
2A004;1988;;4;2329;;;;102038;516134.5698;58949
2A004;1989;;4;2329;;;;98820;556350.8889;58949
2A004;1990;;4;2329;;;;87471;512058.9307;58949
2A004;1991;;4;2329;;;;76895;445809.2299;58949
2A004;1992;;;;;;;;;
2A004;1993;;;;;;;;;
2A004;1994;;;;;;;;;
2A004;1995;;;;;;;;;
2A004;1996;3;4;2129;;;2808;92402;545552.5286;52880
2A004;1997;3;4;2129;;;2994;103447;608074.9195;52880
2A004;1998;3;4;2129;;;2712;113805;673288.0356;52880
2A004;1999;4;5;2195;;;3265;91192;587501.1624;52880
2A004;2000;4;5;2195;;;4134;95431;611414.3153;52880
2A004;2001;4;5;2195;;;4447;103244;659303.8873;52880
2A004;2002;4;5;2195;;;4189;94878;618338.39;52880
2A004;2003;4;5;2195;;;4727;82517;560887.54;64306
2A004;2004;5;6;2645;;;4787;92556;603785.3;64306
2A004;2005;4;5;2051;;;4363;61710;407132;64306
2A004;2006;4;5;2051;;;3800;56142;426276.8;66245
2A004;2007;4;5;2051;;;1709;46328;414993.3;67507
2A004;2008;4;4;2279;;;1410;50057;457020.5;68462
2A004;2009;4;4;2279;;;1345;54921;476348.5;68462
2A004;2010;4;4;2279;;;1297;64163;554189;68462
2A004;2011;5;5;2574;;;1366;62884;525414;68462
2A004;2012;5;5;2574;;;1402;65459;514220.5;68462
2A004;2013;6;6;3006;;;1451;62036;453898.5;68462
2A004;2014;7;12;4153;;;2256;101799;764617.44;68462
2A004;2015;7;12;4153;;;10566;338094;2260517.32;68462
2A004;2016;7;12;4153;;;10391;380992;2572383.76;68462
2A004;2017;6;11;3053;;1;10165;383500;2545169.1;68462
2A004;2018;5;10;2625;;1;10301;357394;2338692.9;68462
2A004;2019;5;10;2625;;1;10360;362715;2333934;68462
2A004;2020;3;8;1761;;1;5052;96619;612815;68462
80021;1960;;12;7637;;;;1204151;343169.9029;105433
80021;1961;;12;7637;;;;1175406;345787.4525;105433
80021;1962;;11;6488;;;;976080;315678.9241;105433
80021;1963;;11;6488;;;;857609;329645.3883;105433
80021;1964;;13;8464;;;;756723;314354.9044;105433
80021;1965;;12;8358;;;;676031;308068974;105433
80021;1966;;9;6861;;;;674462;324574.0193;117888
80021;1967;;10;7711;;;;641801;318684.1516;117888
80021;1968;;10;7711;;;;649633;343788.9984;117888
80021;1969;;10;7711;;;;623862;370092.5518;117888
80021;1970;;8;6116;;;;715447;490709.6044;117888
80021;1971;;8;6116;;;;715911;533011.6151;131476
80021;1972;;8;6046;;;;714537;602866.4989;131476
80021;1973;;11;5819;;;;650575;606724.2213;131476
80021;1974;;11;5819;;;;723275;835191.0262;131476
80021;1975;;12;5735;;;;824186;1107566959;131476
80021;1976;;12;5735;;;;792967;1240950245;131476
80021;1977;;12;5735;;;;718727;1202154105;131476
80021;1978;;12;5735;;;;742081;1383158957;131332
80021;1979;;14;5366;;;;696949;1414772615;131332
80021;1980;;16;5265;;;;777131;1680561836;131332
80021;1981;;15;4522;;;;875978;2135504157;131332
80021;1982;;15;4462;;;;944568;2574972.14;131332
80021;1983;;15;4395;;;;931213;2692468866;131332
80021;1984;;17;4354;;;;883707;2742102.76;131332
80021;1985;;17;4354;;;;800773;2602493609;131332
80021;1986;;16;4108;;;;729371;2828721736;131872
80021;1987;;16;4108;;;;536615;2221862622;131872
80021;1988;;16;4108;;;;509820;2178535.27;131872
80021;1989;;16;4107;;;;542483;2345400366;131872
80021;1990;;16;4107;;;;552500;2532738426;131872
80021;1991;;16;4107;;;;539072;2582948724;131872
80021;1992;3;14;2807;;;21288;574680;2855780638;131872
80021;1993;4;15;3037;;;21833;679670;3422185296;131872
80021;1994;4;15;3037;;;22329;609068;3096006293;131872
80021;1995;4;15;3037;;;21087;594496;3253810082;135501
80021;1996;4;15;3037;;;21817;617944;3438583017;135501
80021;1997;4;15;3037;;;21534;676921;3879997469;135501
80021;1998;4;15;3037;;;20502;761553;4449071357;135501
80021;1999;4;15;3037;;;20758;635531;3721412227;135501
80021;2000;5;16;3291;;;20222;624808;3713554547;135501
80021;2001;4;14;2930;;;16225;544359;3268644743;135501
80021;2002;4;14;2930;;2;20283;653734;4040257.93;135501
80021;2003;4;14;2930;;2;19680;572988;3690212.61;133998
80021;2004;4;14;2930;;2;20713;665079;4342980.16;133998
80021;2005;3;14;3124;1;2;20125;632383;4109652.07;133998
80021;2006;3;14;3124;1;2;22175;788422;5158339.26;132727
80021;2007;3;14;3124;1;2;22062;752783;4902617.85;132699
80021;2008;3;14;3124;1;2;22794;843909;5564926.58;132874
80021;2009;3;14;3124;1;2;22108;859262;5779491.8;132874
80021;2010;3;14;3124;1;2;21711;881002;6277116.78;132874
80021;2011;3;14;3124;1;2;26054;940451;6667461.41;132874
80021;2012;3;14;3124;1;2;26759;899910;6425232.52;132874
80021;2013;3;14;3124;1;2;25922;824714;5892710.98;132874
80021;2014;3;14;3124;1;2;26412;926071;6584926.21;132874
80021;2015;3;14;3124;1;2;26023;905544;6485002.73;132874
80021;2016;3;14;3124;1;2;25500;907129;6540700.53;132874
80021;2017;3;14;3124;1;2;25948;855974;6244906.46;132874
80021;2018;3;14;3124;1;2;26456;824772;5902224.66;132874
80021;2019;3;14;3111;1;2;24034;830454;6338957.25;132874
80021;2020;3;14;3111;1;2;11755;265173;1933297.93;132874
49007;1960;;15;9032;;;;1430189;393486.4633;115273
49007;1961;;15;9033;;;;1428506;400510.5518;115273
49007;1962;;15;9033;;;;1359636;422132091;115273
49007;1963;;15;9078;;;;1302766;455562.0262;115273
49007;1964;;15;9081;;;;1164069;416244.9673;115273
49007;1965;;15;9081;;;;1110297;432754.2811;115273
49007;1966;;13;7849;;;;1007673;432441.6082;128557
49007;1967;;13;8263;;;;926684;433887.4347;128557
49007;1968;;13;8263;;;;928654;450783.3593;128557
49007;1969;;13;8260;;;;855087;473693.7025;128557
49007;1970;;11;7051;;;;882918;521514.9774;128557
49007;1971;;11;6947;;;;828166;540204.3122;137591
49007;1972;;13;7430;;;;885717;654717.0013;137591
49007;1973;;12;6710;;;;888127;752677.8432;137591
49007;1974;;12;6710;;;;878445;862678.8036;137591
49007;1975;;17;7727;;;;831760;977652.9559;137591
49007;1976;;19;7978;;;;1020474;1530492395;137591
49007;1977;;18;7488;;;;976948;1632775167;137591
49007;1978;;16;6013;;;;1065577;1949477024;136038
49007;1979;;15;4872;;;;1045503;2080939299;136038
49007;1980;;17;5401;;;;1053830;2282117273;136038
49007;1981;;17;5401;;;;1123123;2803113466;136038
49007;1982;;21;5913;;;;1236848;3365506885;136038
49007;1983;;20;5689;;;;1187326;3526843985;136038
49007;1984;;21;5510;;;;1143643;3579235834;136038
49007;1985;;24;4946;;;;1019502;3359443988;136038
49007;1986;;23;4746;;;;1108773;4413408658;141404
49007;1987;;23;4749;;;;911639;3830246623;141404
49007;1988;;22;4626;;;;851418;3778415045;141404
49007;1989;;22;4626;;;;814983;3808058905;141404
49007;1990;;22;4626;;;;807292;3870578925;141404
49007;1991;;21;4147;;;;768304;3875738708;141404
49007;1992;4;21;4147;;;27568;778308;4024756501;141404
